provenance_id,provenance_participant_type,practitioner_identifier,organization_identifier
c45699d6-c330-0acc-7186-42473cc32b26,Author,Dr. Henry768 Paucek755,HOLYOKE HEALTH CENTER INC.
c45699d6-c330-0acc-7186-42473cc32b26,Transmitter,Dr. Henry768 Paucek755,HOLYOKE HEALTH CENTER INC.
618386c5-96b0-fd61-607a-e41a0bc8c18b,Author,Dr. Eleanore671 Kiehn525,"VALLEY CHIROPRACTIC AND REHABILITATION, LLC"
618386c5-96b0-fd61-607a-e41a0bc8c18b,Transmitter,Dr. Eleanore671 Kiehn525,"VALLEY CHIROPRACTIC AND REHABILITATION, LLC"
22279a0b-e478-8f61-5e9a-5971695d5562,Author,Dr. Douglass930 Windler79,MEDEXPRESS URGENT CARE PC MASSACHUSETTS
22279a0b-e478-8f61-5e9a-5971695d5562,Transmitter,Dr. Douglass930 Windler79,MEDEXPRESS URGENT CARE PC MASSACHUSETTS
a2103446-657c-6cb8-2d72-ccbb15c0b223,Author,Dr. Aron520 Botsford977,"VA Boston Healthcare System, Jamaica Plain Campus"
a2103446-657c-6cb8-2d72-ccbb15c0b223,Transmitter,Dr. Aron520 Botsford977,"VA Boston Healthcare System, Jamaica Plain Campus"
aa0ed218-8b2a-41fa-590f-4d244f6c4f3c,Author,Dr. Kasi212 Runolfsson901,PCP34313
aa0ed218-8b2a-41fa-590f-4d244f6c4f3c,Transmitter,Dr. Kasi212 Runolfsson901,PCP34313
dcfa5734-0a0b-568c-7bc6-8d78e87e01d2,Author,Dr. Rolland302 Morissette863,NEW HORIZON LLC
dcfa5734-0a0b-568c-7bc6-8d78e87e01d2,Transmitter,Dr. Rolland302 Morissette863,NEW HORIZON LLC
8bb16982-fd3b-00f0-6e5d-155039743cf8,Author,Dr. Tuan998 Fadel536,PCP5308
8bb16982-fd3b-00f0-6e5d-155039743cf8,Transmitter,Dr. Tuan998 Fadel536,PCP5308
50117896-df5d-f79f-68bc-632703141b58,Author,Dr. Jae222 Barton704,PCP263816
50117896-df5d-f79f-68bc-632703141b58,Transmitter,Dr. Jae222 Barton704,PCP263816
795202a1-f371-293f-f6a5-5e09aaa8e8ca,Author,Dr. Richard937 Hackett68,PCP17060
795202a1-f371-293f-f6a5-5e09aaa8e8ca,Transmitter,Dr. Richard937 Hackett68,PCP17060
63a58cbe-a8d7-3119-6a41-cfaf23d25f77,Author,Dr. Lon587 Quitzon246,"VA Boston Healthcare System, West Roxbury Campus"
63a58cbe-a8d7-3119-6a41-cfaf23d25f77,Transmitter,Dr. Lon587 Quitzon246,"VA Boston Healthcare System, West Roxbury Campus"
5432f693-b46d-8c57-e8f5-688162ea77a7,Author,Dr. Keven605 Mueller846,"WORCESTER DERMATOLOGY ASSOCIATES, P.C."
5432f693-b46d-8c57-e8f5-688162ea77a7,Transmitter,Dr. Keven605 Mueller846,"WORCESTER DERMATOLOGY ASSOCIATES, P.C."
7e44ff49-8fe6-f6af-0dc4-c78bad96b917,Author,Dr. Burt293 Quigley282,HARRINGTON PHYSICIAN SERVICES INC
7e44ff49-8fe6-f6af-0dc4-c78bad96b917,Transmitter,Dr. Burt293 Quigley282,HARRINGTON PHYSICIAN SERVICES INC
80f77248-0cbb-36b6-2dae-5fca20ba940a,Author,Dr. Darrick836 Franecki195,PCP260628
80f77248-0cbb-36b6-2dae-5fca20ba940a,Transmitter,Dr. Darrick836 Franecki195,PCP260628
982745ea-332c-0a04-5750-194b42b2bf90,Author,Dr. Dinah304 Schaefer657,PCP27358
982745ea-332c-0a04-5750-194b42b2bf90,Transmitter,Dr. Dinah304 Schaefer657,PCP27358
9bafb047-146c-38af-af22-6fc28f60db47,Author,Dr. Whitney250 Wyman904,VK NEW ENGLAND MANAGEMENT LLC
9bafb047-146c-38af-af22-6fc28f60db47,Transmitter,Dr. Whitney250 Wyman904,VK NEW ENGLAND MANAGEMENT LLC
7abffc09-6e25-d495-e319-0134a8a25414,Author,Dr. Marylynn944 Parker433,PCP38777
7abffc09-6e25-d495-e319-0134a8a25414,Transmitter,Dr. Marylynn944 Parker433,PCP38777
c31d81eb-8019-6bd0-657c-ee2cceb3d84f,Author,Dr. Berry486 Borer986,PCP920
c31d81eb-8019-6bd0-657c-ee2cceb3d84f,Transmitter,Dr. Berry486 Borer986,PCP920
fc34682e-c8eb-904e-ca7d-9f1b9b5877de,Author,Dr. Courtney281 Bradtke547,PCP356558
fc34682e-c8eb-904e-ca7d-9f1b9b5877de,Transmitter,Dr. Courtney281 Bradtke547,PCP356558
e9428c8e-b53a-c5b7-eed7-6aa161964de9,Author,Dr. Demetrice140 Crooks415,GREATER LOWELL FAMILY PRACTICE PC
e9428c8e-b53a-c5b7-eed7-6aa161964de9,Transmitter,Dr. Demetrice140 Crooks415,GREATER LOWELL FAMILY PRACTICE PC
7dafc51a-2d98-76db-35a0-4c97a4428117,Author,Dr. Long300 Stiedemann542,MILFORD REGIONAL PHYSICIAN GROUP INC
7dafc51a-2d98-76db-35a0-4c97a4428117,Transmitter,Dr. Long300 Stiedemann542,MILFORD REGIONAL PHYSICIAN GROUP INC
68881ce9-f3e2-b5c7-ec0c-14e03d830b55,Author,Dr. Leesa210 Lehner980,ORTHOPEDIC AND SPORTS PHYSICAL THERAPY OF CAPE COD LLC
68881ce9-f3e2-b5c7-ec0c-14e03d830b55,Transmitter,Dr. Leesa210 Lehner980,ORTHOPEDIC AND SPORTS PHYSICAL THERAPY OF CAPE COD LLC
4f776520-f9b7-cbfb-48a3-4c744050926f,Author,Dr. Rufus33 Bailey598,PCP144552
4f776520-f9b7-cbfb-48a3-4c744050926f,Transmitter,Dr. Rufus33 Bailey598,PCP144552
17da5677-3550-0014-5885-5ec0e5552429,Author,Dr. Antwan357 Harris789,"STEWARD MEDICAL GROUP, INC"
17da5677-3550-0014-5885-5ec0e5552429,Transmitter,Dr. Antwan357 Harris789,"STEWARD MEDICAL GROUP, INC"
947460e0-8e85-4763-dde4-cb7190a70d51,Author,Dr. Jay242 Stoltenberg489,"MOUNT AUBURN PHYSICAL THERAPY ASSOCIATES, PC"
947460e0-8e85-4763-dde4-cb7190a70d51,Transmitter,Dr. Jay242 Stoltenberg489,"MOUNT AUBURN PHYSICAL THERAPY ASSOCIATES, PC"
1ecc4dd6-fb60-332f-b380-5525a214cf62,Author,Dr. Dulce933 Braun514,Lowell Vet Center
1ecc4dd6-fb60-332f-b380-5525a214cf62,Transmitter,Dr. Dulce933 Braun514,Lowell Vet Center
61f324d3-9394-c400-522f-193d987ccca5,Author,Dr. Hugo693 Kovacek682,FOUNDATION MEDICAL PARTNERS INC.
61f324d3-9394-c400-522f-193d987ccca5,Transmitter,Dr. Hugo693 Kovacek682,FOUNDATION MEDICAL PARTNERS INC.
5ab458ae-8a44-8431-e829-5fd724deba3d,Author,Dr. Krissy321 Pfeffer420,PCP8861
5ab458ae-8a44-8431-e829-5fd724deba3d,Transmitter,Dr. Krissy321 Pfeffer420,PCP8861
00586597-77d5-1171-1d0e-0085d3d45b9f,Author,Dr. Ling534 Gorczany269,NESC BIDPO LLC
00586597-77d5-1171-1d0e-0085d3d45b9f,Transmitter,Dr. Ling534 Gorczany269,NESC BIDPO LLC
323e0545-ac92-2b15-1b82-5f5ef3cc8b94,Author,Dr. Leesa210 Lehner980,PCP20300
323e0545-ac92-2b15-1b82-5f5ef3cc8b94,Transmitter,Dr. Leesa210 Lehner980,PCP20300
6ed9290a-9241-03aa-cbb4-8611c78a09d5,Author,Dr. Regena252 Kunde533,PCP100060
6ed9290a-9241-03aa-cbb4-8611c78a09d5,Transmitter,Dr. Regena252 Kunde533,PCP100060
d516d89f-2dbb-7394-5f44-e3785c4fcd07,Author,Dr. Timothy142 Stroman228,AT CARE PLLC
d516d89f-2dbb-7394-5f44-e3785c4fcd07,Transmitter,Dr. Timothy142 Stroman228,AT CARE PLLC
0aeb6f95-d143-7f53-e7d2-6075ee3fa84e,Author,Dr. Palmer257 Gaylord332,"UMASS MEMORIAL MEDICAL GROUP, INC."
0aeb6f95-d143-7f53-e7d2-6075ee3fa84e,Transmitter,Dr. Palmer257 Gaylord332,"UMASS MEMORIAL MEDICAL GROUP, INC."
44901b80-52a7-b6f4-e256-d53ec57fb185,Author,Dr. Robt687 Rodriguez71,MEDICAL CARE OF BOSTON MANAGEMENT CORPORATION
44901b80-52a7-b6f4-e256-d53ec57fb185,Transmitter,Dr. Robt687 Rodriguez71,MEDICAL CARE OF BOSTON MANAGEMENT CORPORATION
5a91f8ee-51d8-de4d-737b-a7587ad25766,Author,Dr. Olive251 Pollich983,MILFORD REGIONAL PHYSICIAN GROUP INC
5a91f8ee-51d8-de4d-737b-a7587ad25766,Transmitter,Dr. Olive251 Pollich983,MILFORD REGIONAL PHYSICIAN GROUP INC
fe5ea216-166d-a7e5-5098-c6a9459a6757,Author,Dr. Ema785 Quigley282,BAY STATE EXCELLENT VISION
fe5ea216-166d-a7e5-5098-c6a9459a6757,Transmitter,Dr. Ema785 Quigley282,BAY STATE EXCELLENT VISION
7dabe304-fe46-b201-9240-071e70c91133,Author,Dr. Carisa395 Koelpin146,PCP4078
7dabe304-fe46-b201-9240-071e70c91133,Transmitter,Dr. Carisa395 Koelpin146,PCP4078
d15c0943-eb5d-1f9a-80c4-1c758c7e60f6,Author,Dr. Winnie378 Witting912,PCP5398
d15c0943-eb5d-1f9a-80c4-1c758c7e60f6,Transmitter,Dr. Winnie378 Witting912,PCP5398
3c5d2bb8-5b94-9500-bc32-1a4b4db587ee,Author,Dr. Darrick836 Franecki195,PCP30989
3c5d2bb8-5b94-9500-bc32-1a4b4db587ee,Transmitter,Dr. Darrick836 Franecki195,PCP30989
956d938a-3759-781e-909c-7cd86f60632b,Author,Dr. Chante435 Barrows492,PCP32963
956d938a-3759-781e-909c-7cd86f60632b,Transmitter,Dr. Chante435 Barrows492,PCP32963
bf8a7374-a930-7329-6ba1-e68f82a43642,Author,Dr. Alix578 Lynch190,PCP364
bf8a7374-a930-7329-6ba1-e68f82a43642,Transmitter,Dr. Alix578 Lynch190,PCP364
c71645cc-5eb8-0170-d7f5-d399ec9b9088,Author,Dr. Alta896 Schiller186,PCP229490
c71645cc-5eb8-0170-d7f5-d399ec9b9088,Transmitter,Dr. Alta896 Schiller186,PCP229490
70e20fd8-61ff-4825-c4a1-38eb259b01f1,Author,Dr. Dinah304 Schaefer657,PCP27358
70e20fd8-61ff-4825-c4a1-38eb259b01f1,Transmitter,Dr. Dinah304 Schaefer657,PCP27358
dccdb0e7-d56c-8b49-06b4-7067868f48bb,Author,Dr. Reinaldo138 Jast432,PCP167138
dccdb0e7-d56c-8b49-06b4-7067868f48bb,Transmitter,Dr. Reinaldo138 Jast432,PCP167138
f20c3688-6a49-786b-3782-358573cafa7c,Author,Dr. Marvin195 Glover433,PCP44672
f20c3688-6a49-786b-3782-358573cafa7c,Transmitter,Dr. Marvin195 Glover433,PCP44672
7d6ce949-5765-e6c3-9cc1-45c761c0a180,Author,Dr. Jewell855 Brekke496,PCP98670
7d6ce949-5765-e6c3-9cc1-45c761c0a180,Transmitter,Dr. Jewell855 Brekke496,PCP98670
9a057c7d-d282-9fda-05a6-e87b7861b4c4,Author,Dr. Olympia319 Hickle134,Brockton Vet Center
9a057c7d-d282-9fda-05a6-e87b7861b4c4,Transmitter,Dr. Olympia319 Hickle134,Brockton Vet Center
5b330639-2912-847e-4c49-07fdf9d10935,Author,Dr. Demetrice140 Crooks415,PCP28562
5b330639-2912-847e-4c49-07fdf9d10935,Transmitter,Dr. Demetrice140 Crooks415,PCP28562
281f4911-a34a-80a3-b6cc-37e6905c714e,Author,Dr. James276 Witting912,PCP126177
281f4911-a34a-80a3-b6cc-37e6905c714e,Transmitter,Dr. James276 Witting912,PCP126177
d087d8bd-56a0-4fa0-6ef8-f1e854611ceb,Author,Dr. Jame231 Jacobi462,"EYE EXAMS, LLC"
d087d8bd-56a0-4fa0-6ef8-f1e854611ceb,Transmitter,Dr. Jame231 Jacobi462,"EYE EXAMS, LLC"
154d97b0-f436-3b38-89d1-d214cb8df6fa,Author,Dr. Jeff859 Kreiger457,Cape Cod Vet Center
154d97b0-f436-3b38-89d1-d214cb8df6fa,Transmitter,Dr. Jeff859 Kreiger457,Cape Cod Vet Center
